Dates;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1980-09-01;;;;;16,5;;;;;;;;;;;;;;;
1980-09-02;;;;;16,47;;;;;;;;;;;;;;;
1980-09-03;;;;;16,34;;;;;;;;;;;;;;;
1980-09-04;;;;;16,47;;;;;;;;;;;;;;;
1980-09-05;;;;;16,03;;;;;;;;;;;;;;;
1980-09-08;;;;;16,5;;;;;;;;;;;;;;;
1980-09-09;;;;;16,47;;;;;;;;;;;;;;;
1980-09-10;;;;;16,31;;;;;;;;;;;;;;;
1980-09-11;;;;;16,41;;;;;;;;;;;;;;;
1980-09-12;;;;;16,38;;;;;;;;;;;;;;;
1980-09-15;;;;;16,38;;;;;;;;;;;;;;;
1980-09-16;;;;;16,38;;;;;;;;;;;;;;;
1980-09-17;;;;;16,34;;;;;;;;;;;;;;;
1980-09-18;;;;;16,25;;;;;;;;;;;;;;;
1980-09-19;;;;;16,19;;;;;;;;;;;;;;;
1980-09-22;;;;;16,28;;;;;;;;;;;;;;;
1980-09-23;;;;;16,19;;;;;;;;;;;;;;;
1980-09-24;;;;;16,09;;;;;;;;;;;;;;;
1980-09-25;;;;;16,09;;;;;;;;;;;;;;;
1980-09-26;;;;;16,13;;;;;;;;;;;;;;;
1980-09-29;;;;;16,09;;;;;;;;;;;;;;;
1980-09-30;;;;;16,13;;;;;;;;;;;;;;;
1980-10-01;;;;;15,05;;;;;;;;;;;;;;;
1980-10-02;;;;;15,03;;;;;;;;;;;;;;;
1980-10-03;;;;;15,083255813953489;;;;;;;;;;;;;;;
1980-10-06;;;;;14,942558139534885;;;;;;;;;;;;;;;
1980-10-07;;;;;14,886744186046512;;;;;;;;;;;;;;;
1980-10-08;;;;;14,885116279069766;;;;;;;;;;;;;;;
1980-10-09;;;;;14,967906976744187;;;;;;;;;;;;;;;
1980-10-10;;;;;15,044883720930233;;;;;;;;;;;;;;;
1980-10-13;;;;;15,121860465116281;;;;;;;;;;;;;;;
1980-10-14;;;;;15,123953488372091;;;;;;;;;;;;;;;
1980-10-15;;;;;15,174418604651162;;;;;;;;;;;;;;;
1980-10-16;;;;;15,308837209302325;;;;;;;;;;;;;;;
1980-10-17;;;;;15,442558139534883;;;;;;;;;;;;;;;
1980-10-20;;;;;15,550697674418604;;;;;;;;;;;;;;;
1980-10-21;;;;;15,58581395348837;;;;;;;;;;;;;;;
1980-10-22;;;;;15,886744186046514;;;;;;;;;;;;;;;
1980-10-23;;;;;15,408372093023257;;;;;;;;;;;;;;;
1980-10-24;;;;;15,35953488372093;;;;;;;;;;;;;;;
1980-10-27;;;;;15,609767441860464;;;;;;;;;;;;;;;
1980-10-28;;;;;15,67139534883721;;;;;;;;;;;;;;;
1980-10-29;;;;;15,943953488372095;;;;;;;;;;;;;;;
1980-10-30;;;;;16,231162790697674;;;;;;;;;;;;;;;
1980-10-31;;;;;16,36186046511628;;;;;;;;;;;;;;;
1980-11-03;;;;;16,650465116279072;;;;;;;;;;;;;;;
1980-11-04;;;;;16,428837209302323;;;;;;;;;;;;;;;
1980-11-05;;;;;16,27627906976744;;;;;;;;;;;;;;;
1980-11-06;;;;;16,283023255813955;;;;;;;;;;;;;;;
1980-11-07;;;;;16,284186046511625;;;;;;;;;;;;;;;
1980-11-10;;;;;16,30627906976744;;;;;;;;;;;;;;;
